subject_id,timepoint,mission_phase,resilience_state_label,mission_relevance_context,expert_review_context,data_streams_that_would_strengthen_interpretation,guardrail
Demo_Crew_01,T0_baseline,baseline,Stable compensated trajectory,Trajectory tracks personal baseline; useful as a within-subject reference point for subsequent expert review. Adding these data streams would strengthen interpretation: body composition / physical status.,Suitable as a within-subject reference; no specific feature flagged for review.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_01,T1_pre,pre_mission,Localized adaptive shift,A localized adaptive shift is visible; expert review may focus on the dominant domain/subgraph and its supporting data streams. Adding these data streams would strengthen interpretation: body composition / physical status.,Expert review may inspect the dominant domain/subgraph and its source variables.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_01,T2_inflight,inflight,Systemic strain pattern,A stronger multi-system strain-like pattern is visible and is flagged for expert review; this is not a risk score or alert. Adding these data streams would strengthen interpretation: body composition / physical status.,"Flagged for expert review of the multi-system pattern; interpretation only, not an alert.",body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_01,T3_post,postflight,Systemic strain pattern,A stronger multi-system strain-like pattern is visible and is flagged for expert review; this is not a risk score or alert. Adding these data streams would strengthen interpretation: body composition / physical status.,"Flagged for expert review of the multi-system pattern; interpretation only, not an alert.",body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_01,T4_recovery,recovery,Persistent displacement,The graph remains displaced from baseline into the post-shift phase; expert review may consider follow-up data collection. Adding these data streams would strengthen interpretation: body composition / physical status.,Expert review may consider whether follow-up timepoints confirm persistence.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_02,T0_baseline,baseline,Stable compensated trajectory,Trajectory tracks personal baseline; useful as a within-subject reference point for subsequent expert review. Adding these data streams would strengthen interpretation: body composition / physical status.,Suitable as a within-subject reference; no specific feature flagged for review.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_02,T1_pre,pre_mission,Localized adaptive shift,A localized adaptive shift is visible; expert review may focus on the dominant domain/subgraph and its supporting data streams. Adding these data streams would strengthen interpretation: body composition / physical status.,Expert review may inspect the dominant domain/subgraph and its source variables.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_02,T2_inflight,inflight,Systemic strain pattern,A stronger multi-system strain-like pattern is visible and is flagged for expert review; this is not a risk score or alert. Adding these data streams would strengthen interpretation: body composition / physical status.,"Flagged for expert review of the multi-system pattern; interpretation only, not an alert.",body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_02,T3_post,postflight,Systemic strain pattern,A stronger multi-system strain-like pattern is visible and is flagged for expert review; this is not a risk score or alert. Adding these data streams would strengthen interpretation: body composition / physical status.,"Flagged for expert review of the multi-system pattern; interpretation only, not an alert.",body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
Demo_Crew_02,T4_recovery,recovery,Localized adaptive shift,A localized adaptive shift is visible; expert review may focus on the dominant domain/subgraph and its supporting data streams. Adding these data streams would strengthen interpretation: body composition / physical status.,Expert review may inspect the dominant domain/subgraph and its source variables.,body composition / physical status,"Operational resilience interpretation is a research-review layer. It describes baseline-relative adaptation patterns for expert interpretation. It is not diagnosis, treatment guidance, health risk scoring, exposure measurement, or an operational medical decision."
