subject_id,timepoint,mission_phase,hazard,baseline_hazard_relevance,current_hazard_relevance,delta_hazard_relevance,absolute_delta_hazard_relevance,contribution_share,coverage_fraction,attribution_rank,interpretation
Demo_Crew_01,T0_baseline,baseline,space_radiation,0.82038,0.82038,0.0,0.0,0.0,0.8,1,"Space Radiation hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T0_baseline,baseline,isolation_and_confinement,0.75,0.75,0.0,0.0,0.0,0.16667,2,"Isolation and Confinement hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T0_baseline,baseline,distance_from_earth,0.85,0.85,0.0,0.0,0.0,0.2,3,"Distance from Earth hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T0_baseline,baseline,gravity_fields,0.84722,0.84722,0.0,0.0,0.0,0.83333,4,"Gravity Fields hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T0_baseline,baseline,hostile_closed_environments,0.812,0.812,0.0,0.0,0.0,0.5,5,"Hostile / Closed Environments hazard-context alignment accounts for 0% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T1_pre,pre_mission,isolation_and_confinement,0.75,0.78,0.03,0.03,0.22862,0.16667,1,"Isolation and Confinement hazard-context alignment accounts for 23% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T1_pre,pre_mission,distance_from_earth,0.85,0.88,0.03,0.03,0.22862,0.2,2,"Distance from Earth hazard-context alignment accounts for 23% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T1_pre,pre_mission,space_radiation,0.82038,0.84538,0.025,0.025,0.19052,0.8,3,"Space Radiation hazard-context alignment accounts for 19% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T1_pre,pre_mission,hostile_closed_environments,0.812,0.836,0.024,0.024,0.1829,0.5,4,"Hostile / Closed Environments hazard-context alignment accounts for 18% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
Demo_Crew_01,T1_pre,pre_mission,gravity_fields,0.84722,0.86944,0.02222,0.02222,0.16933,0.83333,5,"Gravity Fields hazard-context alignment accounts for 17% of the hazard-context shift. This is hazard-context alignment, not exposure attribution or causal proof."
