subject_id,timepoint,mission_phase,hazard,delta_hazard_relevance,reference_median_delta,reference_mad_delta,lower_bound,upper_bound,robust_z,envelope_position,envelope_exceedance,interpretation
Demo_Crew_01,T0_baseline,baseline,space_radiation,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,isolation_and_confinement,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,distance_from_earth,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,gravity_fields,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,hostile_closed_environments,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,space_radiation,0.025,0.0,0.05,-0.12,0.12,0.3372,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,isolation_and_confinement,0.03,0.0,0.05,-0.12,0.12,0.4047,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,distance_from_earth,0.03,0.0,0.05,-0.12,0.12,0.4047,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,gravity_fields,0.02222,0.0,0.05,-0.12,0.12,0.2997,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,hostile_closed_environments,0.024,0.0,0.05,-0.12,0.12,0.3238,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T2_inflight,inflight,space_radiation,0.255,0.0,0.05,-0.12,0.12,3.4399,outside_expected_envelope,0.135,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,isolation_and_confinement,0.4,0.0,0.05,-0.12,0.12,5.3959,outside_expected_envelope,0.28,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,distance_from_earth,0.25,0.0,0.05,-0.12,0.12,3.3725,outside_expected_envelope,0.13,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,gravity_fields,0.23972,0.0,0.05,-0.12,0.12,3.2338,outside_expected_envelope,0.11972,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,hostile_closed_environments,0.243,0.0,0.05,-0.12,0.12,3.278,outside_expected_envelope,0.123,"The hazard-context delta for hostile_closed_environments is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,space_radiation,0.38539,0.0,0.05,-0.12,0.12,5.1988,outside_expected_envelope,0.26539,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,isolation_and_confinement,0.55,0.0,0.05,-0.12,0.12,7.4194,outside_expected_envelope,0.43,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,distance_from_earth,0.4,0.0,0.05,-0.12,0.12,5.3959,outside_expected_envelope,0.28,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,gravity_fields,0.3725,0.0,0.05,-0.12,0.12,5.025,outside_expected_envelope,0.2525,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
