graph_subject_id,source_node,target_node,edge_type,relationship,weight,source,interpretation,coactivation,coactivation_weight
Crew 97774,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,Cardiovascular and metabolic systems share regulatory feedback loops.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 97774,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 97774,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,Metabolic state and body composition are bidirectionally coupled.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 97774,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,Inflammatory signalling modulates metabolic pathways.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 97774,Body composition / physical status,Hematologic / oxygen-carrying,within_subject_coactivation,Both domains show elevated reference-relative activation in this subject.,1.987276,processed NeuroBridge-S4 proxy outputs,Co-activation is not causal proof; it flags a pattern for review.,,
Crew 94465,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,Cardiovascular and metabolic systems share regulatory feedback loops.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 94465,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 94465,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,Metabolic state and body composition are bidirectionally coupled.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 94465,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,Inflammatory signalling modulates metabolic pathways.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 99813,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,Cardiovascular and metabolic systems share regulatory feedback loops.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 99813,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 99813,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,Metabolic state and body composition are bidirectionally coupled.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 99813,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,Inflammatory signalling modulates metabolic pathways.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,True,1.128175
Crew 100987,Cardiovascular regulation,Metabolic regulation,conceptual_biological_relationship,Cardiovascular and metabolic systems share regulatory feedback loops.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 100987,Cardiovascular regulation,Hematologic / oxygen-carrying,conceptual_biological_relationship,Oxygen-carrying capacity is tightly coupled to cardiovascular function.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 100987,Metabolic regulation,Body composition / physical status,conceptual_biological_relationship,Metabolic state and body composition are bidirectionally coupled.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
Crew 100987,Metabolic regulation,Inflammation / immune-adjacent,conceptual_biological_relationship,Inflammatory signalling modulates metabolic pathways.,1.0,NeuroBridge-S4 graph schema,Conceptual biological relationship; not causal proof. Flags domains for co-review.,,
